Timestamp,Data
2025-01-08T14:32:05.591521,Test de communication via USART2
2025-01-08T14:32:05.623458,VL53L8CX not detected at requested address (0x52)
2025-01-08T14:32:06.484524,Test de communication via USART2
2025-01-08T14:32:06.523169,VL53L8CX not detected at requested address (0x52)
2025-01-08T14:32:07.403776,Test de communication via USART2
2025-01-08T14:32:07.426825,VL53L8CX not detected at requested address (0x52)
2025-01-08T14:33:27.933472,Test de communication via USART2
2025-01-08T14:33:27.970741,VL53L8CX not detected at requested address (0x52)
2025-01-08T14:35:28.216845,Test de communication via USART2
2025-01-08T14:35:28.242049,VL53L8CX not detected at requested address (0x52)
2025-01-08T14:35:29.018998,Test de communication via USART2
2025-01-08T14:35:29.045441,VL53L8CX not detected at requested address (0x52)
2025-01-08T14:35:29.409901,Test de communication via USART2
2025-01-08T14:35:29.442892,VL53L8CX not detected at requested address (0x52)
2025-01-08T14:35:29.772856,Test de communication via USART2
2025-01-08T14:35:29.801875,VL53L8CX not detected at requested address (0x52)
2025-01-08T14:35:30.055892,Test de communication via USART2
2025-01-08T14:35:30.074561,VL53L8CX not detected at requested address (0x52)
2025-01-08T14:35:30.526273,Test de communication via USART2
2025-01-08T14:35:30.548950,VL53L8CX not detected at requested address (0x52)
2025-01-08T14:36:22.041070,Test de communication via USART2
2025-01-08T14:36:22.067580,VL53L8CX not detected at requested address (0x52)
2025-01-08T14:36:22.643224,Test de communication via USART2
2025-01-08T14:36:22.668295,VL53L8CX not detected at requested address (0x52)
2025-01-08T14:36:23.058740,Test de communication via USART2
2025-01-08T14:36:23.087402,VL53L8CX not detected at requested address (0x52)
2025-01-08T14:36:23.351423,Test de communication via USART2
2025-01-08T14:36:23.386176,VL53L8CX not detected at requested address (0x52)
2025-01-08T14:36:23.926533,Test de communication via USART2
2025-01-08T14:36:23.954084,VL53L8CX not detected at requested address (0x52)
2025-01-08T14:37:34.611567,Test de communication via USART2
2025-01-08T14:37:34.637261,VL53L8CX not detected at requested address (0x52)
2025-01-08T14:37:35.040992,Test de communication via USART2
2025-01-08T14:37:35.069586,VL53L8CX not detected at requested address (0x52)
2025-01-08T14:37:35.322199,Test de communication via USART2
2025-01-08T14:37:35.341516,VL53L8CX not detected at requested address (0x52)
2025-01-08T14:37:35.507841,Test de communication via USART2
2025-01-08T14:37:35.534889,VL53L8CX not detected at requested address (0x52)
2025-01-08T14:37:35.674666,Test de communication via USART2
2025-01-08T14:37:35.699218,VL53L8CX not detected at requested address (0x52)
2025-01-08T14:37:35.860924,Test de communication via USART2
2025-01-08T14:37:35.887970,VL53L8CX not detected at requested address (0x52)
2025-01-08T14:37:36.034613,Test de communication via USART2
2025-01-08T14:37:36.054203,VL53L8CX not detected at requested address (0x52)
2025-01-08T14:37:36.225187,Test de communication via USART2
2025-01-08T14:37:36.247595,VL53L8CX not detected at requested address (0x52)
2025-01-08T14:37:36.410743,Test de communication via USART2
2025-01-08T14:37:36.439406,VL53L8CX not detected at requested address (0x52)
2025-01-08T14:37:36.604887,Test de communication via USART2
2025-01-08T14:37:36.634094,VL53L8CX not detected at requested address (0x52)
2025-01-08T14:37:36.824681,Test de communication via USART2
2025-01-08T14:37:36.856453,VL53L8CX not detected at requested address (0x52)
2025-01-08T14:38:07.292149,Test de communication via USART2
2025-01-08T14:38:07.316510,VL53L8CX not detected at requested address (0x52)
2025-01-08T14:38:08.142223,Test de communication via USART2
2025-01-08T14:38:08.158817,VL53L8CX not detected at requested address (0x52)
