Timestamp,Data
2025-01-21T12:04:47.696249,Moyenne Droite: 1963
2025-01-21T12:04:47.717639,Moyenne Gauche: 920
2025-01-21T12:04:48.674186,Moyenne Droite: 2078
2025-01-21T12:04:48.698867,Moyenne Gauche: 926
2025-01-21T12:04:49.665922,Moyenne Droite: 1720
2025-01-21T12:04:49.684760,Moyenne Gauche: 885
2025-01-21T12:04:50.660909,Moyenne Droite: 2083
2025-01-21T12:04:50.678290,Moyenne Gauche: 1563
2025-01-21T12:04:51.650034,Moyenne Droite: 2057
2025-01-21T12:04:51.676885,Moyenne Gauche: 1471
2025-01-21T12:04:52.642642,Moyenne Droite: 1977
2025-01-21T12:04:52.670042,Moyenne Gauche: 1452
2025-01-21T12:04:53.633775,Moyenne Droite: 2075
2025-01-21T12:04:53.656480,Moyenne Gauche: 1586
2025-01-21T12:04:54.628209,Moyenne Droite: 2078
2025-01-21T12:04:54.646787,Moyenne Gauche: 1594
2025-01-21T12:04:55.627809,Moyenne Droite: 2083
2025-01-21T12:04:55.637385,Moyenne Gauche: 1583
2025-01-21T12:04:56.616783,Moyenne Droite: 1986
2025-01-21T12:04:56.637067,Moyenne Gauche: 1591
2025-01-21T12:04:57.603207,Moyenne Droite: 2066
2025-01-21T12:04:57.624591,Moyenne Gauche: 1598
2025-01-21T12:04:58.596199,Moyenne Droite: 2050
2025-01-21T12:04:58.609730,Moyenne Gauche: 1036
